id,latitude,longitude,title,description,product,other_product,service,province,address,status,promotion,old_picture,picture
601,11.570444444444444,104.90508333333334,PTT Station Neak Vorn,"['Amazon', '7-Eleven']","['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'ABA', 'Cash']",Phnom Penh,"Russian Federation Blvd (St.110), Sangkat Srah Chak, Khan Doun Penh, Cambodia",under construct,['promotion1'],,2.png
603,10.634594444444444,103.54430555555555,PTT Station Klaing Leu,"['Amazon', '7-Eleven']","['ULG 95', 'ULR 91', 'HSD']",['EV'],"['Fleet card', 'ABA', 'Cash']",Preah Sihanouk,"National Road No. 4, Sangkat 1, Khan Mittapheap, Sihanouk Province, Cambodia",24h,[''],,2.png
604,13.357830555555555,103.89061944444445,PTT Station Seang Nam,"['Amazon', '7-Eleven']","['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'ABA', 'Cash']",Siem Reap,"National Road No. 6, Sangkat Chreav, Khan Siem Reap, Siem Reap Province, Kingdom of Cambodia",24h,[''],,2.png
605,11.532950000000001,104.95410555555556,PTT Station Chba Ampov,"['Amazon', '7-Eleven']","['ULG 95', 'ULR 91', 'HSD']","['EV', 'Onion']","['Fleet card', 'ABA', 'Cash']",Phnom Penh,"National Road No. 1 (Phnom Penh-Vietnam), Sangkat Niruth, Khan Chbar Ampov, Phnom Penh, Cambodia",24h,[''],,2.png
606,13.368913888888889,103.84679166666666,PTT Staton Siem Reap,"['Amazon', '7-Eleven']","['ULG 95', 'ULR 91', 'HSD']",['Onion'],"['Fleet card', 'ABA', 'Cash']",Siem Reap,"National road No. 6, Phum Sala Kanseng, Sangkat No.2, Siem Reap Province, Kingdom of Cambodia ",24h,[''],,2.png
608,12.052297222222222,105.05008611111111,PTT Station Phdao Chum I,"['Amazon', '7-Eleven']","['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'ABA', 'Cash']",Kampong Cham,"National Road No. 6 Phum Chheur Teal, Khum Phdao Chum, Srok Cherng Prey, Kampong Cham Province, Kingdom of Cambodia",24h,[''],,2.png
609,11.35755,104.18873333333333,PTT Station Pich Nil,"['Amazon', '7-Eleven']","['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'ABA', 'Cash']",Kampong Speu,"National Road No4, Phumi 6, Khom Traeng Troyeung, Srok Phnom Srouch, Kampong Speu Province, Cambodia.",24h,[''],,2.png
610,11.487627777777776,104.81649722222222,PTT Station Prey Key,"['Amazon', '7-Eleven']","['ULG 95', 'ULR 91', 'HSD']",['EV'],"['Fleet card', 'ABA', 'Cash']",Phnom Penh,"National road No.3, Phum Prey Key, Sangkat Pleung Chhess Rotes, Khan Posen Chey, Phnom Penh, Cambodia",24h,[''],,2.png
611,10.990052777777777,104.782825,PTT Station Takeo City,"['Amazon', '7-Eleven']","['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'ABA', 'Cash']",Takeo,"Poum 3, Sangkat Rokar Knung,Krung DounKeo, Takeo Province",24h,[''],,2.png
612,12.219722222222222,104.66816666666666,PTT Station Kampong Chhnang,"['Amazon', '7-Eleven']","['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'ABA', 'Cash']",Kampong Chhnang,"National R. 5, Phum Toul Khsach, Khum Chrey Bak, Srok Rolea Pa Ear, Kanpong Chhnang province ",24h,[''],,2.png
613,11.679722222222221,104.85052777777777,PTT Station Prek Phnov,"['Amazon', '7-Eleven']","['ULG 95', 'ULR 91', 'HSD']",['EV'],"['Fleet card', 'ABA', 'Cash']",Phnom Penh,"National Road 5, Doung Village, Sangkat Por Nhea Leu, Khan Prek Phnov, Phnom Penh",24h,[''],,2.png
614,12.051802777777779,105.04250833333333,PTT Station Phdao-Chum II,"['Amazon', '7-Eleven']","['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'ABA', 'Cash']",Kampong Cham,"National Road No. 6 Phum Chheur Teal, Khum Phdao Chum, Srok Cherng Prey, Kampong Cham Province, Kingdom of Cambodia",24h,[''],,2.png
617,11.498694444444444,104.8723611111111,PTT Station Prey Sar,"['Amazon', '7-Eleven']","['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'ABA', 'Cash']",Phnom Penh,"#811 Rd.PreySor, Sangkat PreySor,Khan Dongkor Phnom Penh",24h,[''],,2.png
10029691,11.606027777777777,104.88672222222223,PTT Aeon II,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'Cash']",Phnom Penh,"#4818, St 1003, Bonla Swet Village, Sangkat Khmough, Khan Sen Sok, Phnom Penh",16h,[''],,2.png
10032997,11.577166666666667,104.9555,PTT AKREIY KSAT,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'Cash']",Kandal,"Phum Arey Ksat, Khum Arey Ksat, Srok Lave Am, Kandal Province",16h,[''],,2.png
10033524,11.634527777777777,104.86933611111111,PTT-Station-Grand Phnom Penh II,"['Amazon', '7-Eleven']","['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'Cash']",Phnom Penh,"Street 307, Lor Kambor Village, Sangkat Svay Pak, Khan Russey Keo, PP",24h,[''],,2.png
10032217,11.603194444444444,104.92694444444444,PTT Station Chroy Chang Va III,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'Cash']",Phnom Penh,"#Land B KeanKlang Vilage, Sangkat Chroy ChangVa, Phnom Penh",16h,[''],,2.png
10029692,11.735388888888888,105.02719444444445,PTT Prek Tameak,"['Amazon', '7-Eleven']","['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'Cash']",Kandal,"National R. 8, Anlong Village, Prek Tamak Commune, Kandal District, Kandal",24h,[''],,2.png
10032352,11.615499999999999,104.84936111111111,PTT Khmounh Sen Sok,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'Cash']",Phnom Penh,"#F56, St. Fortune, Chong Thnol Khang Kert Village, Sangkat Tuek Thla, Khan Sen Sok, Phnom Penh",16h,[''],,2.png
10032353,11.52025,104.88244444444443,PTT Moil Villlage,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'Cash']",Phnom Penh," St. Toul Pong Ror, Phum Morl, Sangkat Dongkar, Phnom Penh",16h,[''],,2.png
10033523,11.569022222222221,104.86495833333333,PTT DEY THMEY,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'Cash']",Phnom Penh,"#620, street: 58P, Dey Thmey Village, Sangkat: Koukleang, Khan: Sen Sok, Phnom Penh. ",16h,[''],,2.png
10033316,11.442366666666667,104.88457500000001,PTT SOK KEO KOUR SROV,"['Amazon', '7-Eleven']","['ULG 95', 'ULR 91', 'HSD']",[''],['Cash'],Phnom Penh,"National Road No.2, Phum krang Svay,Sangkat Prek Kampeus,Khan Dongkor",24h,[''],,2.png
10033821,11.882416666666668,104.88477777777778,PTT Road 61,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],['Cash'],Kampong Cham,"St.  61, Sangkerb Village, Sambour Commune, 
Batheay District, Kampong Cham Province",16h,[''],,2.png
10030896,11.831972222222221,104.73177777777778,PTT OUDONG,"['Amazon', '7-Eleven']","['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'Cash']",Kampong Chhnang,"No. 0136, Road No. 5, Chhunleak Dei Village, Svay Commune, Samaki Meanchey District, Kompongchhnang Province.",24h,[''],,2.png
10032893,11.615072222222222,104.89731666666667,PTT Wat Tul,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],['Cash'],Phnom Penh," #201, St 1701, Kroul Kour Village, Sangkat Kilomet lerk 6, Khan Russey Keo, Phnom Penh",16h,[''],,2.png
10032705,13.22936111111111,104.1641388888889,PTT DOM DEK,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'Cash']",Siem Reap,"National Road No. 6, Khum Dam Dek, Srok Sonikum, Siem Reap Province, Kingdom of Cambodia",16h,[''],,2.png
10031114,12.753666666666666,104.90597222222223,PTT KOMPONGTHOM II,"['Amazon', '7-Eleven']","['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'ABA', 'Cash']",Kampong Thom,"National Road 6, Phum Thnal Bek, Kum Trapang Rassey, Srok Kompong Svay, Kompongthom",24h,[''],,2.png
10030505,13.058861111111112,103.26180555555555,PTT BTB Before City,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'Cash']",Battambang,"#St,Phum Svaykong,Khum Anlongvel,SANGKE DISTRICT,Battambang Provinc",16h,[''],,2.png
10031826,13.071111111111112,103.16636111111112,PTT Battambang Road57,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'Cash']",Battambang,"National Road 57, Andong Preng Village, Omal Commune, Battambang District, Battambang province",24h,[''],,2.png
10027087,10.608333333333333,104.19455555555555,PTT KOMPOT I,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'Cash']",Kampot,"National Road 3, Kompongbay Khang Cherng village, Kompongbay commune, Kampot",24h,[''],,2.png
10026213,11.45693611111111,104.95804444444445,PTT Mony Oudom(N21),['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'Cash']",Kandal,"National Road 21, Phum Prek Somrong,Sangkat Takhmao,Krung Takhmao",16h,[''],,2.png
10027210,10.993777777777776,104.75640277777778,PTT SOK KEO TAKEO,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],['Cash'],Takeo,"House No. N/A, Road No. 02, Phum Khseung,Sangkat Rokar Khnong,Daun Keo",16h,[''],,2.png
10025514,11.558819444444445,104.92549444444445,PTT Pasteur,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'Cash']",Phnom Penh," #120, St. Pastor, village 4, Sangkat Chaktoumouk, Khan Doun Penh           Phnom Penh",16h,[''],,2.png
10034019,11.726277777777778,104.96366666666667,PTT_PREK ANCHANH,"['Amazon', '7-Eleven']","['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'Cash']",Phnom Penh,"Land No .5, Road 6A, Phum Prek Taben, Khum Prekanh Chanh, Srok Mokkam Pol, Khet Kandal, Cambodia.",24h,[''],,2.png
10033146,13.256194444444445,103.09019444444444,PTT THMOR KOL I,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'Cash']",Battambang,"National Road 5, Kaksekam Village, Tapoung Commune, Thma koul district, battambang province.",24h,[''],,2.png
10027790,11.496583333333332,104.89269444444444,PTT ChomkaDoung S.J.K,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],['Cash'],Phnom Penh,"Street 217, Phum Taley, Sangkat Dangkor, Khan Dangkor, Phnom Penh",16h,[''],,2.png
10029893,11.473722222222221,104.8931388888889,PTT MEETING POINT,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'Cash']",Phnom Penh,"St. Tomnob 7 Makara, Road 60m, Phum Baku, Sangkat Dangkor, Khan Dangkor, Phnom Penh",16h,[''],,2.png
10030924,11.501972222222221,104.84119444444444,PTT KS TOUL PONGRO,"['Amazon', '7-Eleven']","['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'Cash']",Phnom Penh,"#12 Street Betong, Sangkat Chom Chao, Khan Porsenchey, Phnom Penh (Infront of JS Corp factory)",24h,[''],,2.png
